op,bytes,provider,threads,trial,wall_ns_per_iter,cpu_ns_per_iter
parse_comment_many,16777216,cand-auto16,16,3,4568529.5,11760500.0
parse_comment_many,16777216,cand-on8,8,3,4925810.5,9707500.0
parse_comment_many,16777216,cand-on8,8,4,5682915.5,12151000.0
parse_comment_many,16777216,cand-auto16,16,4,4276435.5,11860500.0
parse_comment_many,16777216,cand-auto8,8,4,4415454.5,10077000.0
parse_comment_many,16777216,cand-off,1,4,6947195.5,6937500.0
parse_comment_many,16777216,oracle,1,4,12291020.0,12268500.0
parse_comment_many,16777216,oracle,1,5,12333363.5,12317000.0
parse_comment_many,16777216,cand-off,1,5,6987140.0,6962500.0
parse_comment_many,16777216,cand-auto8,8,5,5304360.5,11385500.0
parse_comment_many,16777216,cand-auto16,16,5,4405866.5,11979000.0
parse_comment_many,16777216,cand-on8,8,5,5513530.0,11772000.0
parse_comment_many,16777216,cand-on8,8,6,5153935.5,11578000.0
parse_comment_many,16777216,cand-auto16,16,6,4534792.0,12330500.0
parse_comment_many,16777216,cand-auto8,8,6,5211031.5,11997500.0
parse_comment_many,16777216,cand-off,1,6,6905523.0,6890000.0
parse_comment_many,16777216,oracle,1,6,12298784.0,12281500.0
parse_comment_many,16777216,oracle,1,7,12571411.5,12551000.0
parse_comment_many,16777216,cand-off,1,7,6933695.5,6913000.0
parse_comment_many,16777216,cand-auto8,8,7,4278254.0,9703500.0
parse_comment_many,16777216,cand-auto16,16,7,4234878.0,11935500.0
parse_comment_many,16777216,cand-on8,8,7,4839820.0,10957500.0
parse_comment_many,67108864,oracle,1,1,58294506.0,58155000.0
parse_comment_many,67108864,cand-off,1,1,30554875.0,30487000.0
parse_comment_many,67108864,cand-auto8,8,1,21208115.0,43945000.0
parse_comment_many,67108864,cand-auto16,16,1,18410764.0,47382000.0
parse_comment_many,67108864,cand-on8,8,1,20095101.0,43839000.0
parse_comment_many,67108864,cand-on8,8,2,19717588.0,42855000.0
parse_comment_many,67108864,cand-auto16,16,2,18587473.0,47278000.0
parse_comment_many,67108864,cand-auto8,8,2,18947394.0,37729000.0
parse_comment_many,67108864,cand-off,1,2,29073045.0,29007000.0
parse_comment_many,67108864,oracle,1,2,56956523.0,56205000.0
parse_comment_many,67108864,oracle,1,3,56036380.0,55931000.0
parse_comment_many,67108864,cand-off,1,3,31152628.0,31087000.0
parse_comment_many,67108864,cand-auto8,8,3,20348283.0,44358000.0
parse_comment_many,67108864,cand-auto16,16,3,19007245.0,47409000.0
parse_comment_many,67108864,cand-on8,8,3,21438153.0,46401000.0
parse_comment_many,67108864,cand-on8,8,4,20403176.0,40423000.0
parse_comment_many,67108864,cand-auto16,16,4,18368065.0,47384000.0
parse_comment_many,67108864,cand-auto8,8,4,18571413.0,37396000.0
parse_comment_many,67108864,cand-off,1,4,30397993.0,29502000.0
parse_comment_many,67108864,oracle,1,4,56536090.0,56420000.0
parse_comment_many,67108864,oracle,1,5,55831989.0,55707000.0
parse_comment_many,67108864,cand-off,1,5,30263973.0,30204000.0
parse_comment_many,67108864,cand-auto8,8,5,21475583.0,49283000.0
parse_comment_many,67108864,cand-auto16,16,5,18029624.0,48003000.0
parse_comment_many,67108864,cand-on8,8,5,22864040.0,49409000.0
parse_comment_many,67108864,cand-on8,8,6,19566046.0,42505000.0
parse_comment_many,67108864,cand-auto16,16,6,18572515.0,47655000.0
parse_comment_many,67108864,cand-auto8,8,6,19897543.0,43114000.0
parse_comment_many,67108864,cand-off,1,6,30377234.0,29460000.0
parse_comment_many,67108864,oracle,1,6,57278564.0,57117000.0
parse_comment_many,67108864,oracle,1,7,56247724.0,56158000.0
parse_comment_many,67108864,cand-off,1,7,30149009.0,30057000.0
parse_comment_many,67108864,cand-auto8,8,7,19428039.0,41317000.0
parse_comment_many,67108864,cand-auto16,16,7,17948202.0,47486000.0
parse_comment_many,67108864,cand-on8,8,7,19665231.0,43801000.0
parse_comment_one,1048576,oracle,1,1,638206.1,631393.9
parse_comment_one,1048576,cand-off,1,1,499299.5,497272.7
parse_comment_one,1048576,cand-auto8,8,1,419375.1,816030.3
parse_comment_one,1048576,cand-auto16,16,1,419065.1,1265151.5
parse_comment_one,1048576,cand-on8,8,1,434469.9,854272.7
parse_comment_one,1048576,cand-on8,8,2,467492.0,905939.4
parse_comment_one,1048576,cand-auto16,16,2,433128.0,1283424.2
parse_comment_one,1048576,cand-auto8,8,2,414112.0,826303.0
parse_comment_one,1048576,cand-off,1,2,506301.0,505060.6
parse_comment_one,1048576,oracle,1,2,627134.5,626151.5
parse_comment_one,1048576,oracle,1,3,647614.5,643727.3
parse_comment_one,1048576,cand-off,1,3,508972.0,507545.5
parse_comment_one,1048576,cand-auto8,8,3,433441.3,813121.2
parse_comment_one,1048576,cand-auto16,16,3,414363.7,1252787.9
parse_comment_one,1048576,cand-on8,8,3,398157.1,792030.3
parse_comment_one,1048576,cand-on8,8,4,412859.6,809393.9
parse_comment_one,1048576,cand-auto16,16,4,405372.1,1260575.8
parse_comment_one,1048576,cand-auto8,8,4,464318.5,897030.3
parse_comment_one,1048576,cand-off,1,4,510572.9,508606.1
parse_comment_one,1048576,oracle,1,4,631060.3,629303.0
parse_comment_one,1048576,oracle,1,5,627954.2,626424.2
parse_comment_one,1048576,cand-off,1,5,499316.5,497303.0
parse_comment_one,1048576,cand-auto8,8,5,465964.9,912181.8
parse_comment_one,1048576,cand-auto16,16,5,405931.9,1259212.1
parse_comment_one,1048576,cand-on8,8,5,392371.2,801242.4
parse_comment_one,1048576,cand-on8,8,6,419641.7,808939.4
parse_comment_one,1048576,cand-auto16,16,6,476061.0,1282606.1
parse_comment_one,1048576,cand-auto8,8,6,423395.6,838969.7
parse_comment_one,1048576,cand-off,1,6,536959.0,535333.3
parse_comment_one,1048576,oracle,1,6,630414.3,629000.0
parse_comment_one,1048576,oracle,1,7,627436.3,625697.0
parse_comment_one,1048576,cand-off,1,7,509376.1,507424.2
parse_comment_one,1048576,cand-auto8,8,7,485875.3,933060.6
parse_comment_one,1048576,cand-auto16,16,7,420259.2,1307393.9
parse_comment_one,1048576,cand-on8,8,7,482905.0,912363.6
parse_comment_one,4194304,oracle,1,1,2580276.4,2537777.8
parse_comment_one,4194304,cand-off,1,1,1552004.2,1539888.9
parse_comment_one,4194304,cand-auto8,8,1,1379637.7,3003444.4
